S:2017-08-09 04:06:13 E:2017-08-13 01:27:38 Price:null
S:2017-08-13 01:27:38 E:2017-08-13 15:43:41 Price:20.87
S:2017-08-13 15:43:41 E:2017-08-15 13:33:43 Price:19.46
S:2017-08-15 13:33:43 E:2017-08-16 02:12:31 Price:null
S:2017-08-16 02:12:31 E:2017-08-18 05:26:09 Price:20.48
S:2017-08-18 05:26:09 E:2017-08-20 06:19:48 Price:19.4
S:2017-08-20 06:19:48 E:2017-08-22 12:42:44 Price:19.78
S:2017-08-22 12:42:44 E:2017-08-31 18:45:32 Price:20.48
S:2017-08-31 18:45:32 E:2017-09-05 14:04:11 Price:19.99
S:2017-09-05 14:04:11 E:2017-09-05 14:56:52 Price:19.21
S:2017-09-05 14:56:52 E:2017-09-08 13:43:47 Price:19
S:2017-09-08 13:43:47 E:2017-09-12 10:49:48 Price:19.77
S:2017-09-12 10:49:48 E:2017-09-12 15:22:17 Price:17.84
S:2017-09-12 15:22:17 E:2017-09-12 19:30:41 Price:17.82
S:2017-09-12 19:30:41 E:2017-09-12 21:46:00 Price:16.42
S:2017-09-12 21:46:00 E:2017-09-14 00:43:48 Price:16
S:2017-09-14 00:43:48 E:2017-09-14 23:06:40 Price:14.88
S:2017-09-14 23:06:40 E:2017-09-17 13:43:19 Price:14.86
S:2017-09-17 13:43:19 E:2017-09-19 08:58:13 Price:18.97
S:2017-09-19 08:58:13 E:2017-09-21 08:25:55 Price:19.77
S:2017-09-21 08:25:55 E:2017-10-10 03:44:10 Price:19.99
S:2017-10-10 03:44:10 E:2017-10-19 01:47:29 Price:20.48
S:2017-10-19 01:47:29 E:2017-10-19 18:19:18 Price:18.8
S:2017-10-19 18:19:18 E:2017-10-20 01:00:57 Price:18.18
S:2017-10-20 01:00:57 E:2017-10-21 14:45:58 Price:17.5
S:2017-10-21 14:45:58 E:2017-10-22 13:09:30 Price:17.52
S:2017-10-22 13:09:30 E:2017-10-23 19:15:25 Price:17.5
S:2017-10-23 19:15:25 E:2017-10-23 23:28:03 Price:17.45
S:2017-10-23 23:28:03 E:2017-10-24 21:16:39 Price:17.25
S:2017-10-24 21:16:39 E:2017-11-02 18:39:23 Price:16.8
S:2017-11-02 18:39:23 E:2017-11-03 06:14:46 Price:16.5
S:2017-11-03 06:14:46 E:2017-11-03 12:09:22 Price:16.52
S:2017-11-03 12:09:22 E:2017-11-03 17:11:10 Price:16.5
S:2017-11-03 17:11:10 E:2017-11-05 12:36:35 Price:17
S:2017-11-05 12:36:35 E:2017-11-15 03:24:09 Price:16.52
S:2017-11-15 03:24:09 E:2017-12-07 11:12:40 Price:17.98
S:2017-12-07 11:12:40 E:2017-12-07 12:13:34 Price:null
S:2017-12-07 12:13:34 E:2017-12-10 10:59:06 Price:17.98
S:2017-12-10 10:59:06 E:2017-12-10 12:00:30 Price:null
S:2017-12-10 12:00:30 E:2017-12-14 01:46:09 Price:17.98
S:2017-12-14 01:46:09 E:2017-12-14 02:47:18 Price:null
S:2017-12-14 02:47:18 E:2017-12-14 15:00:00 Price:17.98
S:2017-12-14 15:00:00 E:2017-12-14 16:00:15 Price:null
S:2017-12-14 16:00:15 E:2017-12-23 22:37:44 Price:17.98
S:2017-12-23 22:37:44 E:2017-12-23 23:38:45 Price:null
S:2017-12-23 23:38:45 E:2017-12-25 21:37:10 Price:17.98
S:2017-12-25 21:37:10 E:2017-12-25 22:38:30 Price:null
S:2017-12-25 22:38:30 E:2017-12-28 21:24:19 Price:17.98
S:2017-12-28 21:24:19 E:2017-12-28 22:25:18 Price:null
S:2017-12-28 22:25:18 E:2018-01-05 23:18:45 Price:17.98
S:2018-01-05 23:18:45 E:2018-01-06 00:19:20 Price:null
S:2018-01-06 00:19:20 E:2018-01-25 17:42:54 Price:17.98
S:2018-01-25 17:42:54 E:2018-01-25 18:43:59 Price:null
S:2018-01-25 18:43:59 E:2018-03-27 05:58:00 Price:17.98
S:2018-03-27 05:58:00 E:2018-03-27 06:58:25 Price:null
S:2018-03-27 06:58:25 E:2018-04-24 21:49:25 Price:17.98
S:2018-04-24 21:49:25 E:2018-04-25 21:54:17 Price:null
S:2018-04-25 21:54:17 E:2018-05-01 17:42:15 Price:17.98
S:2018-05-01 17:42:15 E:2018-05-02 17:43:14 Price:null
S:2018-05-02 17:43:14 E:2020-03-31 11:50:27 Price:17.98}],S:2015-05-05 22:54:46 E:2016-02-17 07:08:00 Price:19.99
S:2016-02-17 07:08:00 E:2016-05-01 21:54:31 Price:21.99
S:2016-05-01 21:54:31 E:2016-09-03 19:51:43 Price:null
S:2016-09-03 19:51:43 E:2016-12-01 01:31:33 Price:21.99
S:2016-12-01 01:31:33 E:2016-12-01 03:17:37 Price:22.97
S:2016-12-01 03:17:37 E:2016-12-01 17:03:01 Price:21.99
S:2016-12-01 17:03:01 E:2016-12-09 18:50:40 Price:22.97
S:2016-12-09 18:50:40 E:2016-12-23 19:23:21 Price:22.77
